Date,Image_ID,Label,Barcode_Value,Type,Inferred_Status,Coordinates,File_Name,Estimated_Price
3/5/2026,bin1,OZEINO,LPN RR HT361 4118,LPN,FALSE,"[264,15,588,242]",bin1-LPN_RR_HT361_4118-pz8k6.jpg,$29.99 
3/5/2026,bin1,NANAMI X1 Wireless Headphone,X002YNOOQZ,UPC,FALSE,"[80,173,316,316]",bin1-X002YNOOQZ-ncsxnh.jpg,$19.99 
3/5/2026,bin1,Yobola Wireless Earbuds,LPN RR HT361 1642,LPN,FALSE,"[138,353,256,441]",bin1-LPN_RR_HT361_1642-glocvf.jpg,$24.99 
3/5/2026,bin1,M1 True Wireless Stereo Earbuds,LPN RR HT361 3219,LPN,FALSE,"[388,258,550,356]",bin1-LPN_RR_HT361_3219-hhwdsh.jpg,$29.99 
3/5/2026,bin1,Rapoo XK200 Bluetooth Keyboard,LPN RR HT361 6085,LPN,FALSE,"[586,224,939,580]",bin1-LPN_RR_HT361_6085-sun9wm.jpg,$39.99 
3/5/2026,bin1,Monster N-Lite 203 AirLinks,UNKNOWN,NONE,FALSE,"[425,375,555,473]",bin1-UNKNOWN-teui9d.jpg,$49.99 
3/5/2026,bin1,White Box,LPN RR HT361 3447,LPN,FALSE,"[260,400,405,445]",bin1-LPN_RR_HT361_3447-huv6pd.jpg,$14.99 
3/5/2026,bin1,Great-Ears Better Sound Better Life,UNKNOWN,NONE,FALSE,"[436,485,577,589]",bin1-UNKNOWN-zo162.jpg,$19.99 
3/5/2026,bin1,Parameter Earbuds,LPN RR HT361 7512,LPN,FALSE,"[286,468,425,548]",bin1-LPN_RR_HT361_7512-og1n8.jpg,$29.99 
3/5/2026,bin1,Parameter Earbuds,LPN RR HT361 7488,LPN,FALSE,"[137,464,273,541]",bin1-LPN_RR_HT361_7488-7cnjdn.jpg,$29.99 
3/5/2026,bin1,"Wireless Earbuds In-Ear, 6D Stereo Sound (Black)",X002Y1I4D,UPC,FALSE,"[506,606,574,691]",bin1-X002Y1I4D-yd6e6.jpg,$24.99 
3/5/2026,bin1,Wireless Earphones Enjoy Bass,X002Y1T54Q,UPC,FALSE,"[613,622,771,700]",bin1-X002Y1T54Q-e5sl59.jpg,$29.99 
3/5/2026,bin1,Lenovo G3 Pro Gaming Mouse,X002XHSENR,UPC,FALSE,"[518,747,711,854]",bin1-X002XHSENR-5rtxx.jpg,$39.99 
3/5/2026,bin1,S03 True Wireless Stereo Earphones,X002G1G8H,UPC,FALSE,"[549,862,715,949]",bin1-X002G1G8H-i3klss.jpg,$19.99 
3/5/2026,bin1,Bluetooth Headset AA,X003S7AJT5,UPC,FALSE,"[379,850,503,957]",bin1-X003S7AJT5-7ke5w5.jpg,$24.99 
3/5/2026,bin1,Lenovo G3 Pro Gaming Mouse,X002XHSENR,UPC,FALSE,"[286,753,485,855]",bin1-X002XHSENR-r9gkib.jpg,$39.99 
3/5/2026,bin1,Black Box,LPN RR HT361 6331,LPN,FALSE,"[354,610,463,742]",bin1-LPN_RR_HT361_6331-gaybhs.jpg,$14.99 
3/5/2026,bin1,Gaming Headset Professional,LPN RR FF772 0945,LPN,FALSE,"[47,571,363,777]",bin1-LPN_RR_FF772_0945-qmfnp.jpg,$49.99 
3/5/2026,bin1,Wireless Microphone,LPN RR GM049 2782,LPN,FALSE,"[182,827,355,955]",bin1-LPN_RR_GM049_2782-st4t0n.jpg,$39.99 
